Stemming,label
partisipasi kelompok marginalbrbrmerinding ganjar pranowo dengar narasi moga wakil indonesia realisasi narasi emas braamiin,neutral
rletlxk tuju orang merinding masuk angin,neutral
tuju anjur prabowo politikus uang ambil uang pilih calon amanah sesuai hati politik uanh jerabrtapi wajib ibdah pilih pimpin akhaknya,neutral
coba pilih anies iya sulit rakyat,negative
anies goblog bebas presiden diolokolok plonga plongo,negative
strategi tampil anies jaga viewer tahan tonton,neutral
syarifah keren kali berani jaksa agung baharudin lopa,neutral
tarik prabowo anies tulus indonesia,positive
seru nihada pimpin idap catoptrophobia,neutral
coba panji suruh standup kbijakannya anies tinggal jkarta,neutral
kakak special tunjuk tertawa coba tonton podcast bahas pandji,neutral
anies bagus matang prabowo bagus matangbra,positive
anies janji manis realisasi pahit rasa rakyat,negative
jegal anies merekabrbrmari kawal makhluk teman sejati milik gen ideologis anjing kumpeni,neutral
presiden prabowo jual aset negara,neutral
prabowo bicara mimpi utopia konkrit ganjar contoh ideologis kuat anies janji kosong,neutral
ganjar pranowo bawa suara desa ganjar pranowo presiden indonesia,neutral
prabowo hati bicara butuh pimpin prabowo,neutral
polisi minimal minimal bair bodoh,neutral
tiga bakal calon presiden luas gagas indonesia maju kyny,neutral
ganjar libat banyak bidang masyarakat kelas sesuai alam sesuai timingnya bagus,positive
merinding dengar prabowomenjunjung martabat bangsapatriot sejati,negative
anies presiden lucu kali negara pimpin orang,negative
bingung anies prabowo prabowo dewasa pola pikir anies ganjar otak zonk pola pikir anak anak penuh emosi hati hati ganjar,negative
vsci iya hati hati ganjar iblis hoby tonton bokp,negative
catatketika konflik vertikal daerah contoh rempang pimpin tinggi turunbukti nyata orang pimpin tinggi indonesia bilangmasak presidenlha pimpin tinggi indonesia gembargembor dukungandemo turun hadap demonstran apalagimasalah konflikya indonesia,negative
jokowi versi ganjar pranowo argumen dasar realitas rakyat adu mekanik,neutral
panji lupa polusi udara sumbang trbyak iya kndraan motor salah satu iya kendara,neutral
periode anies presiden insaalloh terwujudamin,neutral
anies intellektualnya niat utama adil sosial kuat rakyat butuh adil sama,positive
ganjar emosional penuh senyum palsubrbrjelas lihat,positive
ganjar pranowo bicara sesuai fakta alam nyata arang ceritabrsangat peduli rakyat ganjar pranowo calon presiden,neutral
ganjar masuk ring tinju pakai kawal,neutral
kalow pidato anies masalh peraktek kosong,negative
gilir prabowo presiden kdm gubernur,neutral
nama akun angka komennya dukung anies akun nama angka banyak netralmungkin,negative
actor film salah calon presiden kitasangat jiwa,neutral
heran warga indonesia terima janji manis katakata manis sesuai fakta nyata kerja iya tau iya maksud,positive
iya allah moga doa kabul anies presiden indonesia amin iya allah,positive
sehat prabowo indonesia butuh pimpin,positive
kala rakyat indonesia butuh perubahanbrbranies cocok presiden indonesia selanjudnya benah,negative
jamin lestari hidup ikaen dilanjutken aduh,positive
sayang beliau yang hormat dipisahkanmemisahdipaksa pisahatau pura pura terpisahsayang,positive
nikmat lagu indonesia raya stanza,positive
anies ilustrasi janji angann hadehh,negative
akun bodong dukung anies komen jancuk tertawa gila gin kah takut kalah spam komen palsu,negative
gagas bacapreshanya anies nyambungrasional solusi nybrbrkalau ganjarjangan bicara gagas bohong nybrbruntuk prabowoanda guru sejarah semangat anak muda sajakalau presiden pantasanda gagas apapunhanya teriak teriak sajagkda bicara solusi apa,positive
pilih pimpin intelektual iklan wudhu televisi nasional,neutral
anies manis orang indonesia suka manis makan janji manis sedih sumber daya manusia jongkok,negative
yoi suka katakata manis bicara data fakta bicara fakta nyata gagas,positive
salah tulus bangsa lihat rakyat indonesia mari gandeng tangan wujud indonesia maju,positive
ogaaaaah ah hutang takut gunung rakyat cekik bukti harga cekit rakyat,negative
engeh prabowo gagas konrkit gagas industri negara otomatis dana daerah ekonomi kuat,neutral
calon sesuai tema gagas visi misi anistanpa kurang hormat ganjar prabowo,neutral
sok an bahas korupsi kesandung kartu tanda duduk,neutral
anies sandwich generation bikin haru posisi refleksi anies bkik nang sring kuat didpan cermin bawa pesan anies,neutral
sadar janji manis janji manis lihat pimpin lihat latar ucap manis wujud,neutral
sakit perut tawa bakal calon presiden lucu orasi spill gagas,neutral
prabowo acara kakak najwa sihab bikin emosi kakak nanabrsaya kali pilih prabowobruntuk kali prabowobralasanya anti orang asing kuasa indonesia,negative
prabowo hibur calon presiden ngantuk anies,neutral
anies gubernur modal jual ayat tolak mayat gagas hasil kerja kosong,neutral
macan asia prabowo subianto dengar ucap manis hati tekad peminpin jadi negara negara terhormatbrbra,neutral
anies omong bijakpak ganjar omong menjebakbrmensejahterakan ataw sengsara,negative
banding anies baswedan ganjar pranowo air ganjar pranowo air jernih bening segar sehat butuh orang anies baswedan air air comberan warna coklat hitam bau busuk bacin sumber penyakitbahkan daur ulang,negative
anies baswedan presiden republik indonesia,neutral
trimakasih kakak nana pilih partai tenggelam pilih,positive
tonton kakak prabowo asa tonton stand comedy iya,neutral
ken anies gagas luwas prabowo tahan,neutral
ribu komen dukung anies lembaga survei elektabilitas anies rendah,neutral
iya anjir aneh sumber daya manusia rendah terima mentah janji manis lihat latar becus,negative
bicara bawa anies ganjar ngelees ilfiil gara gara nilai rendah profesi mcjurnalis temperamental orang gampang singgung prabowo rap api hati nurani prabowo dengar bicara nasionalisme hati gemetar,negative
benarsaya orang kerja biarpun efesiensi diphk prabowo lahan masyarakat,positive
moga allah sempat anies baswedan bukti gagasangagasan emas indonesia cinta,neutral
iya pilih pimpin tugas brkarna tugas iya suruh kiri kanan utang budibrdan pilih pimpin cari kaya britu kunci brsalam logika,neutral
nek kabeh kabeh usaha mancing sopo,negative
perhati anies tenang pertanyaanpertanyaan tendensius sensitif kakak ns brtanpa naik nada bicara keluar sikap tubuh tekan jelas,neutral
benarseperti robot program program bekerjaindonesia buruh pimpin manusia cerdas robot,neutral
pimpin butuh isi kepala pikir ide ide butuh pimpin kerja keras pilih buruh hari kuat kerja,positive
benerbutuh ide brilyan patung bambu bongkaroke oce tutupsumur resap ubah nama butuh rakyat tinggal layak kerja,negative
hayo bilang prabowo pecat terima dana pensiun tukang fitnah lengket beliau,negative
lihat komen youtube anies menang top komen youtube puji anies algoritma youtube manipulasi youtube google main algoritma untung salah kandidatbrbrtiktok algoritmanya natural tiktok intervensi negara jalan bisnisbrbr,neutral
isi komennya dukung anies tertawa curiga,negative
sesuai prabowo ekonomi kemisminan besar bangsa kitabrbrfokuslah bangun ekonomi bangsa moga allah mudah jalan bangun ekonomi bangsa bumi hangus kemiskinanbrbrkemudian fokus hilir kaya kuasa nikmat anak bangsa,positive
kakak nazwa skakmat ganjar lulus baik pandu acara,neutral
prabowo bicara khas orang tua omong sense dasar fakta realita prabowo salah menteri kabinet tau urus internal hadap negara medan dsb,negative
ganjar bongkar kuasa pribadi pansusbrayo cek uu pasal hasil pansus banggar dpr ribrbrkarena jebak pasal baik pasal bawa negara terjun rel adil,neutral
bahas tenaga kerja oke oce kabar iya wkwkwkwk,neutral
tertawa galak kakak dsitu beliau gagas bahas umkm nyalon jakarta coba jakarta oke oce galak kakak tahu fanatik tertawa,negative
netralitas pondasi utama nilai gagas gagas tiga orang situ netralitas bawa dasar vital paham tulus balik gagas nyaring dengar jatuh cinta cinta lumpuh otak,positive
sambung tektokan kakak nana iya anies santai bikin emosi terima kasih kaum tengah jungkir hidup nyaman sulit bantu kena pajak butuh anak,positive
iya emosi emosi suara heran takut orde,negative
czflsmn cup cup cup sedih ombrbersihkan pikir rakyat indonesia sukugolongan pilih pimpin visi misi gagas baik,negative
czflsmnnah manusia rusuh mana adem ayem rukun damai sejahtera rakyat,negative
gan ane rasa naik nama srg jual orang profit dikit gilir pajak dinaikin langsung kolaps saing seller,negative
rocky gerung orang pakai kuat titik,negative
materi bahas solusi tenaga honorer,neutral
ganjar berat beban belakang jokowi kerja bayang jokowi anies arena prabowo gagas politik kuat,neutral
pintar omong selesai persoalanbrdan berwibawabrbrpilih pilih,positive
gimick asli tulusmn tegang santai,positive
cluenya orang kakak kali pikir,negative
gagas anies bagus benarbenar isi kosong rezim kesan erti butuh bangsa tuju depan mantap pilih aniesamin,positive
rezim perintah buat negeri manfaat rakyat bbm harga seluruh indonesia anies baswedan gubernur gagal total becus kerja bisa bicara bohong dusta bohong ingkar penuh palsu munafik,negative
vsci baca kasih komentar template scam,negative
anies paham konsep ide gagas,positive
anies jakarta janji manis pintar omong doang,negative
laden akun pelihara partai demokrasi indonesia digit angka,neutral
kadrunkapan tobatmakanya minum kencing ontawkwkwk,negative
bakal calon presiden kakak nana omong pakai sandi morse calon presiden pintar omong calon presiden bisu,negative
paham maksud salah calon presiden pandai benget omong janji manis hasil sesuai iya tau maksud,negative
orang indonesia sdmnya rendah cari mah aksi teori teori aksi omong kosong,negative
ganjar gagas lebihbr ter ukurbr ter databrbr ganjar kader revolusioner jelas akurat transparan sasar,neutral
gaya pikul omong ngalor ngidul ganjar pranowo,neutral
anies satusatunya bakal calon presiden bicara slide pointer orisinilnya,neutral
walah pintar omong doang reka jejak gital hapus omong plin rencana ambisi kuasa apa laku,negative
insyah allah indonesia pimpin berkuwalitasbrsejauh anies rasyid baswedan baik,positive
anies rasyid baswedan tokoh calon presiden wajib dukung sempat indonesia maju aspek hidup bangsa negara,neutral
adu gagas anies menang eksekusi,neutral
habis kuota nonton vidio jm,neutral
allah anies bisa omong doang indonesia air hujan surung masuk rumah rumah uang muka wan abud kocak,negative
lihat data perintah media sosial biar cerdas panies,neutral
iya anies omong ganjar prabowo mah bisu calon presiden pintar omong calon presiden pilih golput bisa omong doang,negative
lp anies background pendidikanny kuat urus susun kalimat anies jagoanny gampang pincut lidah tulang ulang kjadian parah jakarta lp lihat track recordny anies bibir manis kepincut maaf amatir,positive
track record rekam jejak data jakarta data media sosial anies oke calon presiden,neutral
mertua jakarta parah heru gubernur brbrsoal papar gagas anies emah gampang erti enak dengar maaf pilih ning golput pilih jokowi calon presiden jokowi,negative
kartu tanda duduk jakarta manangerti jakarta kayak wkwkwkw,neutral
kartu tanda duduk jakarta zaman teman sodara berita warga korea tau korea,neutral
anies wibawa iya kuat daripa iya,negative
butuh wibawa butuh hasiil kerja,neutral
tuju uang kuasa bayar dukung,neutral
kakak prabowo kabar food estate,neutral
prabowo bagus pidato omong kumurkumur alur logika berantakanbranisganjar layak timbang,negative
ikhlas nyalonkan nama ngebetdendam penguasaupps,neutral
bangga warga negara abdi presiden bayang bangbrkalo partai jaring korupsi biarpun langsung pecat,negative
jujur iya sebaliknyakita tau partai koruptor asal,negative
lihat datang cari jejak digitalnnya,neutral
bodoh ajasih pilih partai yakan,negative
bot bajer kerja brbrsemua bajer bajer kubu prabowo,negative
anies ganjar unlike prabowo komen,neutral
hobi korupsi partai pdip ganjar hobi tonton porno propinsi miskin pulau jawa iya mimpin ganjar jawa,neutral
ganjar hebat matang alam ptofesional cerdas mumpuni,positive
kampanye daerah sjbrjngn bahas kota sajabrbrcoba kampanye papua kakak nusa tenggara timur ambon kahbrklo kampanye indonesia cium bau badan rakyat,neutral
terima kasih kakak najwa acara keluarga pilih anies baswedan,neutral
gagas kongkrit mudah difahami ganjar pranowo brsemua eksekusi berangkat activities maha siswa universitas gajah mada mjd politikus pilih gubernur rakyat kerpihakan rakyat kecilbrbrmonggo doa dukung ganjar presiden indonesia,neutral
kakak tonton brbrmudah difahami bikin ngantuk iya brbrcek audience habis omong tunggu aplaus krik krikk,positive
anies cerdas wibawa mudah erti erti cerah moga pikir ide ide ubah indonesia mudah amin iya allah,positive
nyata many politik lantas lapor wenang tri politik kemarin nilai tarung bela benar,neutral
dukung ganjar komennya kocakamat yaaabrbrtertampar realita junjung layak muji muji enggak jelas brbrngejek prabowo enggak bisa omong anies omong brbrpadahal tonton ganjar aapa hahahaabrbrbrselamat tampar realita goodbye pdi goodbye partai demokrasi indonesia,positive
bowomasih lom kuasa bangsa inibrbrsemua papar prabowo standar dasargx lompat inspirasi,neutral
bingung pilih berkat acara pilih anies baswedan paket komplit intelek wibawa,neutral
netizen cari refrensi rekam jejak bakal calon presiden lena gaya bicara sales pandai bicara,neutral
iya sales calon presiden cari referesnsi belokin sesuai asli iya ulah bajer copras calon presiden gampang tonton simpulin,negative
orang suka powerpoint orang kuat titik,positive
adu gagas olah tata teori pilih anies juara kerja nyata maaf maaf kateee siiich dach mikir,negative
takut ganjar boneka megatronmegolodon onohbrfix pilih anies kaleng,neutral
indonesia pimpin orang cerdas wibawa sahaja iman bertaqwa cipta negara adil makmur sejahtera sesuai amanat uud aminbranis muhaimin,positive
anies anies kreatif perubahansi adil periode jokowi presiden muji dikit hasil beliau orang orang munafik ramal alquran kah,negative
gagas lunas hutang negara tambah hutang,neutral
presiden ridwan kamil brwakil presiden ganjar pranowo,neutral
bismillah ridwan kamil presiden ganjar prabowo presiden wakil presiden ridwan kamil prabowo,neutral
ganjar bicara ngalor ngidul arah audiens jawab substantif,neutral
merinding haru dengar narasi anies prabowo big hormat umur sehat anies prabowo moga allah lindung aaminn,neutral
ganjar pimpin jawa tengah jawa tengah oke but are fit be presiden,neutral
kelola indonesia susah istri orang kepala keluarga sikap adil,negative
modal bacot siap konsep ujung entar kuasa lupa diomongin program laksana jakarta mimpin indonesia,neutral
trauma iya pimpin tugas partaiwkwkwk,neutral
ganjarrrrrbrsilahkan nilai respon pdip bully bukti tolak masyrakatjwbnyk wuuuidihh cerita sndiringrti maksud hihihihi,positive
bahaya nyata anies teman periksa pajaknyabra dalam,negative
ganjar cocok gubernur anies cocok presiden sempurna kombinasi,positive
tuju anies baswedan presidentapi presiden direktur usaha pantat onta gerak bidang sumur resapanh,neutral
aku anies pandai beliau jabat matang dalam gagas beda prabowo sibuk tugas menteri prabowo,positive
cita luarbiasa tulusindonesia martabat budak asingprabowo,positive
anies retorika prabowo keras rakyat nana diam nama ganjar rakyat simple cerdas,positive
hahyg ngeskakmat kakak nana ganjar benar tonton wwkwkwk,negative
ganjar gaya diskusi intimidasi tipe diktator otomatis intimidasi tutup tahan serang,neutral
terima kasih universitas gajah mada isi kepala bohong mahasiswa universitas gajah mada pilih calon presiden penuh gagas paham esensial tahu geopolitik mumpuni brbrbrindonesia indonesia cerdas,positive
terimakasih ganjar inovasi solusi nyata retorika coalnya orang lapang tau asli mantap ganjar,positive
tiga samasama gagas indonesia negara maju pandang negara macan asia moga tiga sehat umur mana,neutral
tiga baiktapi anies terbaikyg pilitikus hati gagas anies rasyid baswedan,positive
mari satu aqidahberjamaah ibadah bekerjasama dakwahtoleransi khilafiyyahdan pegang teguh aqidah ahlussunah waljamaah,positive
ganjar layak konyol dukung bilang ganjar bagus disinibrbrbrpada balik logikanyabrbrada serang prabowo enggak bisa omong anies ngomongbrbrlah ganjar teori gagas kerja brbrselamat tertapar realita goodbye partai demokrasi indonesia,positive
jadi orang tua beban jadikanla orangtua sumur pahala anies,negative
jakarta aman cakep yuhuuu anies yahuttt prabowo yahuttt,positive
hidup ganjar hidup wadasss wadas ganjar ganjar wadaswkwkwkk,neutral
mantap nanabrjadi layakbrbrpak anies kualitas integritas,positive
sektor didik sektor sehat gratis rakyat indonesia,neutral
ganjar sok asyik gaya bicara,neutral
calon presiden meng hukum mati koruptor pilih iya gooooollllllllllbrbrput,negative
mata najwa acara spil gagas kampus universitas sumatera utara mahasiswa aju bakal calon presiden,neutral
prabowo bissmillah ikhlas tulus negeri,positive
anies cocok pimpin bangsa cerdas lahir batin,positive
beda kelasudah kelasnyapak anies rasyid baswedan presiden,neutral
judul buku karya asrul sani chairil anwar rivai apin,neutral
kumpul orang pintar indonesia hebat orang pintar satu juang rakyat pintar omong kerja kosong,negative
iya ganjar gubernur jawa tengah prestasi jatim,neutral
kakak najwa tolong sapayakann calon persiden berani koropsi perintah hukum mati penjara iru bagus biar takut pikir pikir korps,neutral
record anies soalnua sesuai diomonginn fakta,neutral
ribu komentar condong anies gagas beliau unggul bernarasibrmenarik adu argumen unggul capresnyabrentah buzzer fanatikbrbukan indonesia serang sosial media brthx teman,neutral
dukung anies nafas terahkir kalah putar pertamabrbrahkirnya mesti tunjuk dukung elektabilitas stagnan turun,neutral
orang cerdas pilih orang cerdasamin,positive
urus api karhutla sama avatar,neutral
swasembada pangan food estate gagal sambung bos,neutral
haru inshaallah prabowo pasti segenap bangsa eksekusi anies,positive
anak ganjar sedih bilang buah sial depan orang maksud canda anak bangga orang tua wajah anak ganjar diam untung kakak najwa pintar alih bicara,negative
lihat coba sesuai ganjar najwa romantis universitas gajah mada,neutral
komen anies prabowo iya ganjar realistis padang beliau beliau bukti pimpin beliau,positive
aneh sesuai tepuk tangan calon presiden tepuk tangan arti tanda pilih calon presiden tertawa,neutral
butuh presiden ikhlas setir logis cerdas takut miskin,positive
dua kacung amerika banyak literasi,negative
calon anies layak pilih ting usaha bungkam rezim serakah penting partai konglomerat,neutral
komen muja anies bodoh bangga gubenur bodoh,negative
pandai bicara cita besar bangsahidup prabowocitamu moga kabul allahmnjadi presiden ripemimpin bangsa,positive
sesuai prabowo bilang tunggu tunggu trik jir tertawa,neutral
terimakasih mata najwa terimakasih tokoh tokoh bangsa indonesia terbaikbrsemoga calon presiden sempat presiden,positive
guru ganjar ngomongnyajauh kelas anies,negative
prabowo presidenkubraaaaaaamiiinnnn brsemoga sehat umur bapaaakkk,positive
puas dengar jelas calon presiden anies baswedan rasional ambang dilangitlangit,neutral
jago calon presiden ganjar prabowo anies,neutral
butuh kerja nyata jago papar,positive
golvot pilih perisiden gagas anies baswedan anies unjut keadilandi indonesia,neutral
tau jujur coba warga jakarta asli orang non jakarta sok tau omong jakarta tertawa,negative
moga presiden undang undang potong tangan curi uang negara,neutral
asiikkk makan siang prabowo presiden,positive
ngantuk dengar prabowo bicara beliau bilang zulkifli hasan uang beliau anggap dermawan,neutral
iya komment lihat gagas anies doang coba lihat prabowo gagas lugas merinding tonton gagas prabowo sosok pimpin bangsa makmur maju probowo ngiang menit bikin haru good presiden amin iya rabb,positive
ganjar iya prabowo ahahha anies papar sederhana seorng bakal calon presiden prabowo main semangat beliau ajar politiknsemasa tri jokowi ganjar cerdas akar,positive
prabowo orang jujur anies gagas arah selesai arah,neutral
ganjar cocok comedianbrgk cocok presidentbrsemangat,positive
anies lebih ekspektasi iya allah sungguh untung indonesia pimpin pimpin cerdas adil amanah adem beliau,positive
hahhhh amanahhh warga jakarta kah,positive
lihat janji kampanye gubenur jakarta,neutral
negara pimpin anies audzubilamindaliqjngan amit amit,neutral
benci positif apa susah terima baik ane orang jakarta ubah bagus,negative
cari anies universitas gajah mada cari kakak nanabrbrmbak nana hebatbrbrterimaksih kakak nanabrbrcalon tri beeikutnya,positive
nilai gagas inibrayo bangsa indonesia bangkitbrpilih pimpin milik gagas bagus sesuai butuh negara indonesiabranis baswedan,positive
anggap anies retorikatata katajago bicara sajabrbrtapi lihat dengar acara initernyata anggap anies,negative
salut ganjar prinsip percaya gagasanya mutar muter bikin bingung tolak,neutral
orang mampu otak atas presiden anu,positive
bebas pilih keluarga pilih anies baswedan,neutral
nana lembut sederhana anies ketimbang calon lainnyabrjadi wajar anies tampak ketimbang lainnyabrpadahal zonk alias omong kosong sajabryang bukti jokowibrjadi mending tunggu aeahan jokowibrkarena jokowi tau niat calon presiden,positive
dar gagas ragu akan realisasi sesuai nyata dunia politik zaman lihat rekam jejak digital tentu pimpin realita mudah teori,neutral
omong apa anies gagal jakarta gagal mentribrpak anies pintar teori doangbrsetidaknya acara mantap pilih anies tinggal prabowo ganjar pilih,negative
prabowo sosok tulus cinta indonesia haru merinding dengar refleksi beliau,positive
tulus onta tolak lupa prabowo gandeng fpi hati sujud syukur kali tanah nyungsep ngata katai jokowi jilat,positive
dapat orang beda aduh pakkita hak mmilih sesuai hati nuraniklo suka komen forum pndukung prabowo,negative
kandidat ganjar pimpin juta rakyat indonesia proses jalan alam mumpuni,neutral
kasihan dukung anies gadang bakal calon presiden boneka boneka tentu bacawapres buat apa bawa nama nama ulama ahy cawapresnya buat apa jujur adil omong kosong,negative
pilih presiden berpotensimin dibanggakanbrtapi kali pilih golputbryang anies omong kosong kesal harap,negative
anies baswedansmoga allah mudah ridhoi pimpin negeri iniaamiin allah robbal alamiin,positive
anies bcr didik gizi anak zaman ahok beri kartu jakarta pintar beli perlu didik subsidi makan sehat telor daging susu bangun sehat besar puskemas now copas teori calon presiden,neutral
prabowo sambung tekan suara doang malu,negative
refleksi prabowo merinding bismillah prabowo presiden,positive
maaf salah gaya papar ganjar beda iya gaya jokowi bicara audiens,neutral
senang lihat calon pemimpinsemua baik gagas tuju indonesia jayajangan pecah pilihpilihan beda indonesia jayakita bangsa potensi luar pecah baku hantamkarena sibuk antem situ jajah masukjadilah dewasa indonesia jaya,positive
salut cita beliau salut juang beliau caci maki hina rendah semangat beliau surut luntur sisa hidup abdi bukti tang beliau menteri tahan tahan kuat modern,positive
gemar anies gagas anieslah baik mudah erti kalang semangat ubah anies dukung,positive
mudah serap tau janji manis latar kerja coba lihat jabat gubernur jakarta jakarta,neutral
salah jabat anies baswedan jakarta anies salah jabat jabat jakarta tertawa,neutral
moa allah swt limpah sehat sejahtera ketaqwaan anies baswedan calon presiden republik indonesia,neutral
anies pintar omong kerja becus,negative
pintar omong kerja samasama janji tepat iya mending pilih pintar omong double zonk,negative
kerja gitu gitu mata buta apahahaha,negative
jiwa optimis prabowo keren merinding,positive
insya allah pilih anies moga indonesia amanah amin,positive
mknny objektif nilai ganjar cerita masuk substansi,neutral
prabowo alami tulus gagas beliau rakyatbrbrinsya allah beliau presiden,positive
pilih anies kolom komentar buzer akun ribu hujat waspada waspada,neutral
merah putih martabat pilih prabowo,negative
marhaen jaya ganjar presidenbrrumah jokowi,neutral
ewako prabowocalon pimpin indonesia kuattegas segani negara,neutral
simak sekian komentar pilih anies heran hasil survei edar media berita tanah air tempat anies posisi brbrada dapat,neutral
tuju komentar buzzer anies survey media heran pribadi percaya lembaga survey independen,neutral
bicara klise program ungkap jalan periode perintah kagum,neutral
orang iya doang mending omong kakak bikin pusing tertawa,negative
pusing bayang gagas iya bank uang kasih pinjam jelas usaha kredit macet sebab seolaholah uang valuenya mudah tinggal aju pinjam uang katakatanya manis implementasi real bikin kacau,negative
anies ahli papar gagasanbrbrpak ganjar milik rekam jejak alam kerja baikbrbrpak prabowo tulus negeri integritas,positive
coret coret coret kasih jalan mantap prabowo,positive
bismillah pilih jatuh ganjar pranowo presiden indonesia amin iya allah swt,neutral
pegawai negeri sipil ganjar angkat tangan gaji guru juta janji guru pegawai negeri sipil otomatis gaji guru juta dinas cemburu realistis,neutral
hati adu gagas bawa slidesaya adu gagas mahasiswa universitas gajah mada laku bawa calon presiden brbrugm keren maju indonesia,positive
bebas ber ekspresi kah brmasing calon presiden style slide cermin dimna tukar gagas beliau contoh kesiap calon pimpin tuang bas data ayo harga calon presiden data siap tanggung jawab,neutral
keren bang panji ujung jurang,positive
ganjar fungsi negara lindung rakyat rakyat atur konstitusi calon otoriter rejim tiada mendukungnyapadahal rakyat,neutral
calon presiden blunder bahasa fakta data sinkron calon presiden impi timbang solusi calon presiden solusi ketimbang impi asumsi pribadi tonton kuramg jam tayang,neutral
satu bakal calon presiden kuat poin gagas anies baswedan,neutral
pakai kuat titik ngambang tim jawab general orang,neutral
ganjar ngalor ngidul tonton lengkap seksama,neutral
pakai kuat titik kuat titik,positive
gagas prabowo bagus penyampaianya anies bagus penyampaianya muda prabowo ganjar hebat hati bohong pilih golput,positive
teman teman tolong milu kali golput indonesia depan gantung pilih suara,neutral
beda jokontol sesuai gagas amah baca surat purba,neutral
komentar dukung anies dibalasreply buzzer itu isi replynya mutu mengulangulang seringkali isi lontar katakata kasar sambung percaya diri jatuh anies andal buzzer penting brbrsemoga masyarakat beda salah,positive
bgtsetiap suka anies muncul balas menjelekjelekan aniespadahal pilih jelek aniesdengan acara tau kualitas anies tau kualitas anies benarbenar atas rsta,positive
gaya bicara maniside cemerlangblm sesuai prabowo jauhhari dahulumaju prabowosudah jatah inshaallah presiden bikin imdonesia macan asia,positive
anies intelektual rasionalitas objektif isi sampai ekspresi hati,positive
dukung anies tonton selesai biar tau,neutral
prabowo juta kisah kenang sbgi anak bangsa citacita wujud,positive
ganjar demokrasi partai politik tindak nyata dar tata,neutral
kakak drarie tata bicara rocky gerung,neutral
anies baswedan ganjar pranowo prabowo subianto baik selamat nikmat petimati,neutral
hahahakata haleluya anies sambung bungmimpi iya,positive
mohon maaf anies usah tekan giring issue goreng,neutral
inti paslon kubu insyallah panas kemarin presiden moga baik amin,neutral
sosok bakal calon presiden cerdas sesuai realita pandai teori eksekusi adil reklamasi henti eh jalan,positive
anies kalimat pamungkas terjadib melet lidah ular bahli teorib brbrprabowo emosi hahhaaapaan visi misi tertawa emosi pulang tensi iya prabowo,negative
buzerrrp dukung asih uang ratus,positive
gusdur orang ikhlas prabowo subiantobrbrsujiwo tejo calon presiden plastik prabowo,neutral
anies baswedan pintar pintar omong kerja jakarta implementasi lemah,negative
dengar randomngantuk prabowo orang lapang pas lapang dengar sama pakar majubrnamun apa legowo,neutral
salah gubernur sinkron perintah pusat anies sendiricontohnya normalisasi nang banjir tangan covid,neutral
indonesia hancur masyarakat derita pilih ganjal prangono,negative
indonesia hancur pimpin manusia anies,negative
doa harap baikbaik contoh doa doa anies presiden,neutral
pengkotakkotakan akibat konflik masyarakat gizi brkata opa prabowo,neutral
anies pintar omong pintar kasih ide laksana kosong lihat jakarta kemarin pimpin anies,negative
contoh orang non jakarta sok tau komen jakarta tertawa,negative
anies omong lihat kemarin dijakarta ngpain anti korupsi lem aibon ubah ahok kait pantai janji anies sahkan sah ekonomi ngmong adil rumah uang muka program oke oce jalan,negative
tiga calon masuk gagas anies ganjar njlimet mutermuter omong prabowo emosi ajabrbrdan tuju gagas didik netizen indonesia,negative
pilih pemipin kebelakangkita butuh butuh pimpin maju depan ikut kembang zaman,neutral
anies menang telak kurang hormat ganjar prabowo gagas masuk akal indonesia maju moga bualn ada biar nilai gagas gagas lanjut,positive
fakta lapang prabowo subianto lahan kelapa sawit sumatera utara kerja kalang masyarakat bawahjadi rakyat dukung prabowo subianto,neutral
menang telak kalah telak terap skala nasional rakyat butuh hasil nyata pimpin wilayah ganjar gagas realistis manis buai manis sulit wujud,positive
gatot pimpin jawa tengah zerp tingkat signifikan dijatengmalah sibuk naikin elektabilitas doang konten kreator wkbtw orang jawa tengah,negative
tinggal banding jawa tengah vs jakarta yakan orang tau jawab omong jawa tengah kartu tanda duduk jakarta rasa,negative
presiden bpjs gratis sembako murah murah bbm murah lapang kerja mudah didik gratis,neutral
penuh tonton rangkum calon presiden cerdas beatitude calon presiden olah tekan kalimatpertanyaan calon presiden gebu gebu,neutral
sesuai ganjar masuk sambut riah prabowo masuk iya,neutral
calon kepala negara visimisi ambil alih tambang emas freeport utuh,neutral
inti komen lihat jakarta indonesia jakarta,neutral
pikir universitas indonesia ada universitas gajah mada terlaksanagood kerja,neutral
era jokowi bangga bangsa indonesia khawatir minder prabowo presiden ganjar pilih,neutral
orang cerdas pintar itubisa merika cerdas panggung,positive
cari pimpin tugas partai mudah atur ketua partai,neutral
lebih anies penuh sinpati datar,negative
ambisi ubah niat hati orang kena pengaruh framing lihat seksama kerja berstatement tau karakter lanjut legacy nganu visi misi,negative
om prabowo cek cctv nyabrgitu repot tertawa,negative
lihat orang pilih anies baswedan tonton acara inibrbrmohon bantu klik temanteman,neutral
haru prabowo sehat jatah presiden rakyat,neutral
cocok anies dosen konsultan presiden presiden prabowo mantap,positive
gaya komunikasi bagus anies amin,positive
ganjar hancur kacau beranta panik emosional,negative
takut berekspresibrberekspresinya takut dasar data resah efek ekspres indonesia,neutral
